FlowID Throughput_Mbps Normalized
1 0.422625 0.0103691
2 0.397069 0.00974206
3 0.372113 0.00912976
4 0.38086 0.00934438
5 0.423483 0.0103901
6 0.44518 0.0109225
7 0.407703 0.010003
8 0.408132 0.0100135
9 0.389608 0.009559
10 0.400671 0.00983043
11 0.415164 0.010186
12 0.451098 0.0110676
13 0.403758 0.00990618
14 0.379574 0.00931282
15 0.43609 0.0106994
16 0.36508 0.00895722
17 0.380774 0.00934227
18 0.334464 0.00820605
19 0.403672 0.00990407
20 0.434803 0.0106679
21 0.419366 0.0102891
22 0.398184 0.00976941
23 0.411991 0.0101082
24 0.416365 0.0102155
25 0.38532 0.00945379
26 0.391837 0.00961371
27 0.437548 0.0107352
28 0.454957 0.0111623
29 0.373228 0.00915711
30 0.425541 0.0104406
31 0.396297 0.00972312
32 0.365681 0.00897195
33 0.381032 0.00934859
34 0.420567 0.0103186
35 0.364051 0.00893197
36 0.425455 0.0104385
37 0.38026 0.00932965
38 0.397155 0.00974416
39 0.422625 0.0103691
40 0.395182 0.00969577
41 0.378459 0.00928546
42 0.377601 0.00926442
43 0.427599 0.0104911
44 0.42597 0.0104511
45 0.389779 0.00956321
46 0.468164 0.0114864
47 0.409933 0.0100577
48 0.393295 0.00964948
49 0.417137 0.0102344
50 0.380431 0.00933386
51 0.444751 0.0109119
52 0.401871 0.00985989
53 0.399556 0.00980308
54 0.388064 0.00952112
55 0.426656 0.010468
56 0.376229 0.00923076
57 0.440292 0.0108025
58 0.409332 0.0100429
59 0.425798 0.0104469
60 0.410962 0.0100829
61 0.400671 0.00983043
62 0.435318 0.0106805
63 0.403844 0.00990828
64 0.399384 0.00979887
65 0.397926 0.0097631
66 0.440635 0.0108109
67 0.445523 0.0109309
68 0.422625 0.0103691
69 0.393381 0.00965158
70 0.391151 0.00959687
71 0.417823 0.0102513
72 0.449039 0.0110172
73 0.403072 0.00988934
74 0.377258 0.00925601
75 0.4029 0.00988514
76 0.457615 0.0112276
77 0.427599 0.0104911
78 0.352388 0.00864581
79 0.376572 0.00923917
80 0.399384 0.00979887
81 0.42314 0.0103817
82 0.384119 0.00942433
83 0.41079 0.0100787
84 0.431802 0.0105942
85 0.401014 0.00983885
86 0.432316 0.0106068
87 0.385748 0.00946431
88 0.440035 0.0107962
89 0.436776 0.0107163
90 0.440892 0.0108173
91 0.456758 0.0112065
92 0.421082 0.0103312
93 0.381289 0.0093549
94 0.41868 0.0102723
95 0.416279 0.0102134
96 0.421082 0.0103312
97 0.385577 0.0094601
98 0.411734 0.0101019
99 0.369111 0.00905611
100 0.389436 0.00955479
