FlowID Throughput_Mbps Normalized
1 0.723386 0.0177528
2 0.874237 0.0214549
3 0.92132 0.0226104
4 0.900394 0.0220968
5 0.884014 0.0216948
6 0.91463 0.0224462
7 0.810689 0.0198954
8 0.820037 0.0201248
9 0.824668 0.0202384
10 0.870979 0.0213749
11 0.794738 0.0195039
12 0.817207 0.0200553
13 0.852797 0.0209287
14 0.886758 0.0217622
15 0.815749 0.0200195
16 0.787277 0.0193208
17 0.838218 0.020571
18 0.761892 0.0186978
19 0.869949 0.0213497
20 0.848595 0.0208256
21 0.87278 0.0214191
22 0.970803 0.0238248
23 0.81755 0.0200637
24 0.798854 0.0196049
25 1.00536 0.0246729
26 0.840705 0.020632
27 0.766866 0.0188199
28 0.766952 0.018822
29 0.654949 0.0160733
30 0.875009 0.0214739
31 0.717468 0.0176076
32 0.867548 0.0212907
33 0.708892 0.0173971
34 0.72047 0.0176813
35 0.840105 0.0206173
36 0.831615 0.0204089
37 0.701603 0.0172182
38 0.757432 0.0185884
39 0.779816 0.0191377
40 0.679476 0.0166752
41 0.868492 0.0213139
42 0.834102 0.0204699
43 0.894648 0.0219558
44 0.690968 0.0169573
45 0.722528 0.0177318
46 0.771411 0.0189314
47 0.898336 0.0220463
48 0.754774 0.0185231
49 0.742253 0.0182158
50 0.778358 0.0191019
