nNodes,nFlows,packetsPerSec,varParam,throughput_kbps,avg_delay_ms,PDR,dropRatio,energy_J
20,10,100,1,2468.3951,829.8870,0.1876,0.8124,0.0000
20,20,100,1,2686.8863,831.4473,0.0938,0.9062,0.0000
20,30,100,1,2855.7147,831.8746,0.0625,0.9375,0.0000
20,40,100,1,2915.4801,832.1620,0.0469,0.9531,0.0000
20,50,100,1,2926.8266,832.2738,0.0375,0.9625,0.0000
