nNodes,nFlows,packetsPerSec,varParam,throughput_kbps,avg_delay_ms,PDR,dropRatio,energy_J
20,10,100,1,2468.3951,829.8870,0.1876,0.8124,0.0000
20,10,200,1,2623.9809,833.7154,0.0938,0.9062,0.0000
20,10,300,1,2621.5764,834.9433,0.0625,0.9375,0.0000
20,10,400,1,2646.9682,835.5319,0.0469,0.9531,0.0000
20,10,500,1,2639.3441,835.8956,0.0375,0.9625,0.0000
