nNodes,nFlows,packetsPerSec,varParam,throughput_kbps,avg_delay_ms,PDR,dropRatio,energy_J
20,10,100,1,2468.3951,829.8870,0.1876,0.8124,0.0000
20,10,100,2,2468.3951,829.8870,0.1876,0.8124,0.0000
20,10,100,3,2468.3942,829.8882,0.1876,0.8124,0.0000
20,10,100,4,2468.3942,829.8882,0.1876,0.8124,0.0000
20,10,100,5,2468.3942,829.8882,0.1876,0.8124,0.0000
