nNodes,nFlows,packetsPerSec,varParam,throughput_kbps,avg_delay_ms,PDR,dropRatio,energy_J
20,10,100,5,119.7607,4718.7452,0.1165,0.5501,21.1132
20,20,100,5,114.8696,4422.5635,0.0573,0.6093,21.0857
20,30,100,5,123.5625,4455.5885,0.0357,0.6315,21.0909
20,40,100,5,120.1135,4429.8311,0.0218,0.6452,21.0816
20,50,100,5,122.4596,4349.4108,0.0177,0.6489,21.0790
